student_code,subject_id,school_year_id,semester_index,evaluated_at_week,subject_category,grade_level,weighted_early_avg,weighted_late_avg,score_slope,score_volatility,max_drop,last_score,max_coefficient_so_far,high_weight_score_count,last_high_weight_score,lms_avg_score,lms_recent_drop,lms_submission_rate,lms_recent_submission_rate,lms_gradebook_gap,daily_absence_rate,unexcused_absent_rate,excused_absent_days,total_late_count,total_demerit_points,repeat_offense_count,severe_sanction_count,actual_final_grade,actual_risk_level,is_at_risk
HS160002,5,2025,1,5,MATH_SCIENCE,6,4.21,4.32,0.0,0.0,0.0,4.17,0.96,0,4.31,8.62,-0.14,0.9905,0.9974,4.96,0.0384,0.0387,0,2,0.89,0,0,7.0,LOW,0
HS160002,6,2025,1,5,MATH_SCIENCE,6,4.67,4.5,0.0,0.0,0.0,4.55,0.98,0,4.55,8.6,0.04,1.0,1.0,4.14,0.0403,0.0394,0,2,0.88,0,0,7.0,LOW,0
HS160002,13,2025,1,5,TECHNOLOGY,6,4.29,4.52,0.0,0.0,0.0,4.26,1.02,0,4.48,8.52,-0.1,0.8106,0.7384,4.39,0.0393,0.0392,0,2,0.86,0,0,7.1,LOW,0
HS160002,14,2025,1,5,TECHNOLOGY,6,4.12,4.12,0.0,0.0,0.0,4.36,0.95,0,4.01,9.33,-0.39,0.8102,0.7638,4.88,0.0395,0.0401,0,2,0.86,0,0,7.0,LOW,0
HS160002,9,2025,1,5,HUMANITIES,6,6.39,6.07,0.0,0.0,0.0,6.09,1.02,0,6.03,8.96,0.05,0.9548,1.0,2.46,0.0411,0.041,0,2,0.85,0,0,7.9,LOW,0
HS160003,106,2025,1,5,MATH_SCIENCE,6,4.29,4.51,0.0,0.0,0.0,4.16,0.99,0,4.18,6.08,0.15,0.7961,0.7458,1.82,0.1225,0.078,1,2,0.0,0,0,5.7,MODERATE,0
HS160003,2,2025,1,5,HUMANITIES,6,4.09,4.01,0.0,0.0,0.0,4.06,1.01,0,4.16,6.82,-0.0,0.9701,1.0,2.64,0.1209,0.0836,1,2,0.0,0,0,5.7,MODERATE,0
HS160003,3,2025,1,5,HUMANITIES,6,4.6,4.57,0.0,0.0,0.0,4.72,0.96,0,4.56,5.97,0.08,0.6291,0.4943,1.65,0.1247,0.0771,1,2,0.0,0,0,5.7,MODERATE,0
HS160003,7,2025,1,5,MATH_SCIENCE,6,3.74,3.76,0.0,0.0,0.0,3.8,0.96,0,3.61,6.47,0.06,1.0,0.9608,3.08,0.1254,0.0779,1,2,0.0,0,0,5.6,MODERATE,0
HS160003,8,2025,1,5,HUMANITIES,6,4.29,4.44,0.0,0.0,0.0,4.5,0.97,0,4.5,6.44,0.19,0.98,0.9861,2.18,0.1202,0.0835,1,2,0.0,0,0,5.7,MODERATE,0
HS160003,4,2025,1,5,MATH_SCIENCE,6,4.06,3.82,0.0,0.0,0.0,3.95,0.98,0,4.02,6.68,0.0,0.8188,0.9769,2.92,0.1155,0.0806,1,2,0.0,0,0,5.8,MODERATE,0
HS160003,5,2025,1,5,MATH_SCIENCE,6,4.5,4.34,0.0,0.0,0.0,4.31,1.04,0,4.41,6.47,0.0,0.5744,0.7272,1.89,0.1161,0.0823,1,2,0.0,0,0,5.9,MODERATE,0
HS160003,6,2025,1,5,MATH_SCIENCE,6,3.97,3.92,0.0,0.0,0.0,4.25,0.97,0,4.23,6.24,0.64,0.8388,0.7525,2.1,0.1238,0.0811,1,2,0.0,0,0,5.6,MODERATE,0
HS160003,13,2025,1,5,TECHNOLOGY,6,3.92,4.14,0.0,0.0,0.0,4.19,1.04,0,3.93,6.57,-0.71,0.6134,0.5206,2.76,0.1172,0.0797,1,2,0.0,0,0,5.7,MODERATE,0
HS160003,14,2025,1,5,TECHNOLOGY,6,4.62,4.63,0.0,0.0,0.0,4.62,1.04,0,4.39,6.94,0.04,0.7715,0.7528,1.96,0.1164,0.0768,1,2,0.0,0,0,5.7,MODERATE,0
HS160003,9,2025,1,5,HUMANITIES,6,4.74,4.53,0.0,0.0,0.0,4.53,0.97,0,4.63,7.21,0.0,0.5792,0.7407,2.29,0.1189,0.0814,1,2,0.0,0,0,5.8,MODERATE,0
HS1110004,106,2025,1,5,MATH_SCIENCE,11,6.06,5.89,0.0,0.0,0.0,6.21,0.99,0,5.82,,,,,,0.0419,0.0399,0,0,0.37,0,0,6.9,LOW,0
HS1110004,2,2025,1,5,HUMANITIES,11,3.32,3.18,0.0,0.0,0.0,3.38,0.98,0,3.31,,,,,,0.0409,0.04,0,0,0.39,0,0,4.9,HIGH,1
HS1110004,3,2025,1,5,HUMANITIES,11,3.42,3.15,0.0,0.0,0.0,3.17,0.96,0,3.32,,,,,,0.0414,0.0398,0,0,0.39,0,0,4.7,HIGH,1
HS1110004,7,2025,1,5,MATH_SCIENCE,11,6.64,6.72,0.0,0.0,0.0,6.5,0.96,0,6.89,,,,,,0.0381,0.0416,0,0,0.38,0,0,6.9,LOW,0
HS1110004,8,2025,1,5,HUMANITIES,11,2.53,2.58,0.0,0.0,0.0,2.47,1.01,0,2.67,,,,,,0.0387,0.0417,0,0,0.39,0,0,4.8,HIGH,1
HS1110004,4,2025,1,5,MATH_SCIENCE,11,6.51,6.49,0.0,0.0,0.0,6.57,1.0,0,6.0,,,,,,0.0386,0.0415,0,0,0.39,0,0,6.6,LOW,0
HS1110004,5,2025,1,5,MATH_SCIENCE,11,6.29,5.78,0.0,0.0,0.0,5.94,0.95,0,6.24,,,,,,0.0386,0.0397,0,0,0.39,0,0,6.8,LOW,0
HS1110004,6,2025,1,5,MATH_SCIENCE,11,5.43,5.28,0.0,0.0,0.0,5.71,1.01,0,5.3,,,,,,0.0407,0.0408,0,0,0.41,0,0,6.8,LOW,0
HS1110004,13,2025,1,5,TECHNOLOGY,11,5.84,5.98,0.0,0.0,0.0,6.33,0.97,0,6.23,,,,,,0.0393,0.0385,0,0,0.4,0,0,6.8,LOW,0
HS1110004,14,2025,1,5,TECHNOLOGY,11,6.8,6.76,0.0,0.0,0.0,6.7,0.98,0,6.67,,,,,,0.04,0.0413,0,0,0.4,0,0,6.7,LOW,0
HS1110004,9,2025,1,5,HUMANITIES,11,2.96,2.87,0.0,0.0,0.0,3.13,1.05,0,2.95,,,,,,0.042,0.0403,0,0,0.39,0,0,4.8,HIGH,1
HS190005,106,2025,1,5,MATH_SCIENCE,9,8.94,9.22,0.0,0.0,0.0,9.5,1.02,0,9.43,,,,,,0.0,0.0,0,1,0.14,0,0,8.8,LOW,0
HS190005,2,2025,1,5,HUMANITIES,9,8.76,9.03,0.0,0.0,0.0,9.06,1.0,0,9.08,,,,,,0.0,0.0,0,1,0.14,0,0,8.5,LOW,0
HS190005,3,2025,1,5,HUMANITIES,9,8.54,8.34,0.0,0.0,0.0,8.65,0.97,0,8.71,,,,,,0.0,0.0,0,1,0.14,0,0,8.5,LOW,0
HS190005,7,2025,1,5,MATH_SCIENCE,9,9.12,8.58,0.0,0.0,0.0,8.87,0.98,0,8.64,,,,,,0.0,0.0,0,1,0.14,0,0,8.7,LOW,0
HS190005,8,2025,1,5,HUMANITIES,9,7.89,8.2,0.0,0.0,0.0,7.53,1.01,0,7.89,,,,,,0.0,0.0,0,1,0.14,0,0,8.5,LOW,0
HS190005,4,2025,1,5,MATH_SCIENCE,9,9.17,8.81,0.0,0.0,0.0,8.8,0.95,0,9.07,,,,,,0.0,0.0,0,1,0.14,0,0,8.8,LOW,0
HS190005,5,2025,1,5,MATH_SCIENCE,9,9.03,8.85,0.0,0.0,0.0,9.58,1.0,0,9.22,,,,,,0.0,0.0,0,1,0.14,0,0,9.0,LOW,0
HS190005,6,2025,1,5,MATH_SCIENCE,9,9.43,9.25,0.0,0.0,0.0,9.0,0.99,0,8.93,,,,,,0.0,0.0,0,1,0.14,0,0,9.0,LOW,0
HS190005,13,2025,1,5,TECHNOLOGY,9,9.24,8.69,0.0,0.0,0.0,8.79,0.99,0,8.9,,,,,,0.0,0.0,0,1,0.13,0,0,8.8,LOW,0
HS190005,14,2025,1,5,TECHNOLOGY,9,9.27,8.83,0.0,0.0,0.0,8.85,0.95,0,8.82,,,,,,0.0,0.0,0,1,0.14,0,0,8.9,LOW,0
HS190005,9,2025,1,5,HUMANITIES,9,9.27,9.07,0.0,0.0,0.0,8.76,1.02,0,8.75,,,,,,0.0,0.0,0,1,0.14,0,0,8.5,LOW,0
HS260006,106,2025,1,5,MATH_SCIENCE,6,1.21,1.17,0.0,0.0,0.0,1.24,0.97,0,1.16,3.5,0.0,0.2066,0.0,2.56,0.2078,0.0402,4,0,4.69,2,1,2.7,CRITICAL,1
HS260006,2,2025,1,5,HUMANITIES,6,2.48,2.32,0.0,0.0,0.0,2.49,0.96,0,2.47,3.73,0.0,0.1974,0.253,1.23,0.2061,0.0393,4,0,4.6,2,1,3.2,CRITICAL,1
HS260006,3,2025,1,5,HUMANITIES,6,1.92,1.83,0.0,0.0,0.0,1.97,0.98,0,1.88,3.72,0.0,0.405,0.4874,1.79,0.2043,0.0382,4,0,4.65,2,1,3.2,CRITICAL,1
HS260006,7,2025,1,5,MATH_SCIENCE,6,1.76,1.82,0.0,0.0,0.0,1.83,0.99,0,1.8,3.74,0.0,0.4175,0.5094,1.85,0.197,0.0392,4,0,4.73,2,1,2.7,CRITICAL,1
HS260006,8,2025,1,5,HUMANITIES,6,1.55,1.56,0.0,0.0,0.0,1.44,0.98,0,1.43,,,0.0,0.0,,0.1966,0.0396,4,0,4.7,2,1,3.1,CRITICAL,1
HS260006,4,2025,1,5,MATH_SCIENCE,6,1.35,1.41,0.0,0.0,0.0,1.36,0.96,0,1.34,3.11,0.0,0.2046,0.2433,1.62,0.1989,0.0385,4,0,4.43,2,1,2.8,CRITICAL,1
HS260006,5,2025,1,5,MATH_SCIENCE,6,1.17,1.14,0.0,0.0,0.0,1.21,0.99,0,1.2,,,0.0,0.0,,0.1911,0.0394,4,0,4.37,2,1,2.6,CRITICAL,1
HS260006,6,2025,1,5,MATH_SCIENCE,6,1.26,1.26,0.0,0.0,0.0,1.31,1.01,0,1.28,,,0.0,0.0,,0.2096,0.0411,4,0,4.4,2,1,3.0,CRITICAL,1
HS260006,13,2025,1,5,TECHNOLOGY,6,1.78,1.62,0.0,0.0,0.0,1.63,0.96,0,1.78,,,0.0,0.0,,0.2038,0.0414,4,0,4.64,2,1,3.0,CRITICAL,1
HS260006,14,2025,1,5,TECHNOLOGY,6,1.42,1.42,0.0,0.0,0.0,1.46,0.95,0,1.46,2.0,0.0,0.3817,0.4791,0.54,0.1917,0.0405,4,0,4.38,2,1,2.9,CRITICAL,1
HS260006,9,2025,1,5,HUMANITIES,6,2.29,2.23,0.0,0.0,0.0,2.31,0.99,0,2.16,2.94,0.0,0.4025,0.5042,0.71,0.1965,0.0382,4,0,4.56,2,1,3.2,CRITICAL,1
HS190007,106,2025,1,5,MATH_SCIENCE,9,5.45,5.26,0.0,0.0,0.0,5.41,1.01,0,5.2,6.65,-0.07,0.7823,0.7786,1.48,0.1256,0.0,3,1,0.13,0,0,7.0,LOW,0
HS190007,2,2025,1,5,HUMANITIES,9,5.66,5.8,0.0,0.0,0.0,5.73,0.98,0,5.34,5.66,-0.15,0.9998,0.9581,-0.0,0.122,0.0,3,1,0.13,0,0,7.1,LOW,0
HS190007,3,2025,1,5,HUMANITIES,9,5.96,5.65,0.0,0.0,0.0,5.57,0.97,0,6.05,7.18,-0.05,0.7789,0.7807,1.33,0.1194,0.0,3,1,0.13,0,0,7.3,LOW,0
HS190007,7,2025,1,5,MATH_SCIENCE,9,5.32,5.63,0.0,0.0,0.0,5.71,1.03,0,5.74,6.5,0.32,0.7812,0.7827,0.85,0.1194,0.0,3,1,0.14,0,0,7.0,LOW,0
HS190007,8,2025,1,5,HUMANITIES,9,5.65,5.55,0.0,0.0,0.0,6.06,1.03,0,5.84,7.07,0.0,0.8002,0.9965,1.29,0.1238,0.0,3,1,0.12,0,0,7.3,LOW,0
HS190007,4,2025,1,5,MATH_SCIENCE,9,5.27,5.29,0.0,0.0,0.0,5.17,0.98,0,5.06,7.26,0.39,0.9534,1.0,2.01,0.1158,0.0,3,1,0.14,0,0,7.0,LOW,0
HS190007,5,2025,1,5,MATH_SCIENCE,9,5.91,5.9,0.0,0.0,0.0,5.64,1.04,0,6.0,6.59,0.0,0.6015,0.7524,0.86,0.1168,0.0,3,1,0.13,0,0,7.0,LOW,0
HS190007,6,2025,1,5,MATH_SCIENCE,9,5.28,5.55,0.0,0.0,0.0,5.42,1.0,0,5.17,6.15,-0.37,0.769,0.7593,0.5,0.1159,0.0,3,1,0.13,0,0,7.1,LOW,0
HS190007,13,2025,1,5,TECHNOLOGY,9,6.04,5.75,0.0,0.0,0.0,6.19,1.0,0,6.03,6.54,-0.26,0.9937,1.0,0.38,0.1185,0.0,3,1,0.12,0,0,7.3,LOW,0
HS190007,14,2025,1,5,TECHNOLOGY,9,5.76,5.5,0.0,0.0,0.0,5.41,0.97,0,5.6,6.93,-0.31,0.5837,0.5163,1.75,0.1226,0.0,3,1,0.12,0,0,7.0,LOW,0
HS190007,9,2025,1,5,HUMANITIES,9,6.14,5.9,0.0,0.0,0.0,5.94,0.99,0,6.07,7.52,0.11,0.9934,1.0,1.2,0.1238,0.0,3,1,0.13,0,0,7.3,LOW,0
HS160008,106,2025,1,5,MATH_SCIENCE,6,7.99,7.56,0.0,0.0,0.0,7.79,0.98,0,7.76,6.45,0.0,0.3981,0.4918,-1.54,0.0821,0.0801,0,1,0.47,0,0,7.5,LOW,0
HS160008,2,2025,1,5,HUMANITIES,6,7.55,7.3,0.0,0.0,0.0,7.61,0.97,0,7.59,5.27,0.0,0.3915,0.523,-2.01,0.0809,0.0792,0,1,0.46,0,0,7.2,LOW,0
HS160008,3,2025,1,5,HUMANITIES,6,7.83,7.73,0.0,0.0,0.0,7.96,1.03,0,7.54,6.66,0.5,0.7962,0.7303,-0.79,0.0762,0.0788,0,1,0.49,0,0,7.2,LOW,0
HS160008,7,2025,1,5,MATH_SCIENCE,6,8.31,7.95,0.0,0.0,0.0,8.15,1.02,0,8.35,7.16,0.0,0.1929,0.2586,-1.31,0.084,0.0815,0,1,0.48,0,0,7.5,LOW,0
HS160008,8,2025,1,5,HUMANITIES,6,7.97,7.8,0.0,0.0,0.0,7.42,0.97,0,7.35,6.25,0.0,0.5821,0.7564,-1.59,0.0806,0.0837,0,1,0.49,0,0,7.4,LOW,0
HS160008,4,2025,1,5,MATH_SCIENCE,6,8.06,8.11,0.0,0.0,0.0,7.71,1.03,0,8.22,7.24,0.43,0.5831,0.507,-0.83,0.0771,0.0804,0,1,0.47,0,0,7.3,LOW,0
HS160008,5,2025,1,5,MATH_SCIENCE,6,7.78,8.31,0.0,0.0,0.0,8.23,1.04,0,8.25,8.47,-0.29,0.5878,0.5244,0.2,0.0764,0.0764,0,1,0.49,0,0,7.4,LOW,0
HS160008,6,2025,1,5,MATH_SCIENCE,6,7.54,7.76,0.0,0.0,0.0,7.94,1.04,0,7.61,7.05,0.13,0.6208,0.4971,-0.87,0.0762,0.0805,0,1,0.47,0,0,7.4,LOW,0
HS160008,13,2025,1,5,TECHNOLOGY,6,7.42,7.85,0.0,0.0,0.0,7.54,0.95,0,7.67,6.94,0.81,0.5993,0.4794,-0.79,0.0798,0.084,0,1,0.48,0,0,7.4,LOW,0
HS160008,14,2025,1,5,TECHNOLOGY,6,7.95,7.56,0.0,0.0,0.0,7.9,1.04,0,7.86,6.79,0.35,0.4112,0.2417,-1.29,0.0796,0.0828,0,1,0.48,0,0,7.4,LOW,0
HS160008,9,2025,1,5,HUMANITIES,6,8.24,7.8,0.0,0.0,0.0,8.02,1.04,0,7.57,7.17,-0.08,0.8136,0.752,-0.39,0.0807,0.0782,0,1,0.46,0,0,7.4,LOW,0
HS260009,106,2025,1,5,MATH_SCIENCE,6,8.61,8.67,0.0,0.0,0.0,8.17,1.0,0,8.45,8.27,-0.17,0.9551,1.0,0.27,0.0,0.0,0,0,0.03,0,0,9.6,LOW,0
HS260009,2,2025,1,5,HUMANITIES,6,6.72,6.79,0.0,0.0,0.0,6.57,1.01,0,6.95,8.58,-0.08,0.9558,0.9763,1.87,0.0,0.0,0,0,0.03,0,0,8.4,LOW,0
HS260009,3,2025,1,5,HUMANITIES,6,6.5,6.46,0.0,0.0,0.0,6.3,1.0,0,6.41,7.89,0.04,1.0,1.0,1.88,0.0,0.0,0,0,0.03,0,0,8.2,LOW,0
HS260009,7,2025,1,5,MATH_SCIENCE,6,8.47,9.11,0.0,0.0,0.0,8.56,0.99,0,9.11,8.11,0.29,0.9588,0.9957,-0.2,0.0,0.0,0,0,0.03,0,0,9.7,LOW,0
HS260009,8,2025,1,5,HUMANITIES,6,7.33,6.86,0.0,0.0,0.0,7.12,1.03,0,7.16,8.43,-0.1,1.0,0.9872,1.7,0.0,0.0,0,0,0.03,0,0,8.4,LOW,0
HS260009,4,2025,1,5,MATH_SCIENCE,6,8.27,8.49,0.0,0.0,0.0,8.88,1.03,0,8.18,8.81,-0.07,0.9801,0.9966,0.48,0.0,0.0,0,0,0.03,0,0,9.6,LOW,0
HS260009,5,2025,1,5,MATH_SCIENCE,6,8.12,8.11,0.0,0.0,0.0,8.32,0.95,0,8.76,7.7,0.15,0.9974,1.0,-0.32,0.0,0.0,0,0,0.03,0,0,9.6,LOW,0
HS260009,6,2025,1,5,MATH_SCIENCE,6,9.47,9.16,0.0,0.0,0.0,9.44,1.0,0,8.77,9.11,0.04,1.0,1.0,-0.39,0.0,0.0,0,0,0.03,0,0,9.7,LOW,0
HS260009,13,2025,1,5,TECHNOLOGY,6,8.44,8.51,0.0,0.0,0.0,8.33,1.01,0,8.35,9.48,-0.32,1.0,1.0,1.05,0.0,0.0,0,0,0.03,0,0,9.6,LOW,0
HS260009,14,2025,1,5,TECHNOLOGY,6,8.43,8.61,0.0,0.0,0.0,8.27,1.04,0,8.17,8.71,0.09,1.0,0.9938,0.07,0.0,0.0,0,0,0.03,0,0,9.6,LOW,0
HS260009,9,2025,1,5,HUMANITIES,6,6.69,6.89,0.0,0.0,0.0,6.78,0.96,0,6.96,9.51,-0.44,1.0,1.0,2.67,0.0,0.0,0,0,0.03,0,0,8.3,LOW,0
HS280010,106,2025,1,5,MATH_SCIENCE,8,4.35,4.09,0.0,0.0,0.0,4.33,1.05,0,4.27,5.59,-0.11,0.8248,0.7348,1.18,0.0804,0.0,2,1,0.0,0,0,6.2,MODERATE,0
HS280010,2,2025,1,5,HUMANITIES,8,5.54,5.58,0.0,0.0,0.0,5.46,0.97,0,5.61,5.65,-0.11,0.954,0.9851,0.27,0.0821,0.0,2,1,0.0,0,0,7.2,LOW,0
HS280010,3,2025,1,5,HUMANITIES,8,4.91,5.17,0.0,0.0,0.0,5.31,0.97,0,5.24,4.97,0.04,0.7642,0.7849,0.11,0.0806,0.0,2,1,0.0,0,0,7.0,LOW,0
HS280010,7,2025,1,5,MATH_SCIENCE,8,3.62,3.81,0.0,0.0,0.0,3.73,1.04,0,3.81,6.44,-0.56,0.4118,0.2532,2.51,0.0832,0.0,2,1,0.0,0,0,6.3,MODERATE,0
HS280010,8,2025,1,5,HUMANITIES,8,4.96,4.92,0.0,0.0,0.0,4.89,1.01,0,4.66,5.79,0.59,0.5899,0.5055,0.92,0.0783,0.0,2,1,0.0,0,0,7.1,LOW,0
HS280010,4,2025,1,5,MATH_SCIENCE,8,4.03,4.0,0.0,0.0,0.0,4.13,1.03,0,4.09,6.08,0.0,0.3934,0.4771,1.89,0.0801,0.0,2,1,0.0,0,0,6.1,MODERATE,0
HS280010,5,2025,1,5,MATH_SCIENCE,8,3.96,3.89,0.0,0.0,0.0,3.66,1.01,0,3.62,2.97,0.0,0.1919,0.2391,-0.73,0.0771,0.0,2,1,0.0,0,0,6.3,MODERATE,0
HS280010,6,2025,1,5,MATH_SCIENCE,8,4.4,4.49,0.0,0.0,0.0,4.29,1.05,0,4.46,4.88,-0.11,0.8307,0.7273,0.39,0.0765,0.0,2,1,0.0,0,0,6.4,MODERATE,0
HS280010,13,2025,1,5,TECHNOLOGY,8,4.1,4.11,0.0,0.0,0.0,3.99,1.0,0,4.23,5.93,-0.18,0.7711,0.7409,1.91,0.0795,0.0,2,1,0.0,0,0,6.2,MODERATE,0
HS280010,14,2025,1,5,TECHNOLOGY,8,4.24,4.17,0.0,0.0,0.0,4.26,0.98,0,4.15,3.71,0.0,0.409,0.4872,-0.8,0.0781,0.0,2,1,0.0,0,0,6.3,MODERATE,0
HS280010,9,2025,1,5,HUMANITIES,8,5.39,5.4,0.0,0.0,0.0,5.32,0.95,0,5.29,4.74,0.0,0.3841,0.508,-0.62,0.0816,0.0,2,1,0.0,0,0,7.1,LOW,0
HS190011,106,2025,1,5,MATH_SCIENCE,9,4.42,4.57,0.0,0.0,0.0,4.8,0.95,0,4.71,7.98,0.05,0.7973,0.7685,3.64,0.1171,0.0,3,0,3.13,1,1,6.0,MODERATE,0
HS190011,2,2025,1,5,HUMANITIES,9,7.52,7.01,0.0,0.0,0.0,7.44,1.02,0,7.36,8.23,0.37,0.5872,0.4967,0.92,0.1152,0.0,3,0,3.06,1,1,7.9,LOW,0
HS190011,3,2025,1,5,HUMANITIES,9,6.98,7.08,0.0,0.0,0.0,6.89,0.95,0,7.21,8.53,0.09,0.8093,0.7157,1.2,0.122,0.0,3,0,2.98,1,1,7.9,LOW,0
HS190011,7,2025,1,5,MATH_SCIENCE,9,4.52,4.48,0.0,0.0,0.0,4.29,1.04,0,4.5,7.91,0.0,0.6059,0.7288,3.74,0.1182,0.0,3,0,3.17,1,1,5.9,MODERATE,0
HS190011,8,2025,1,5,HUMANITIES,9,6.87,6.86,0.0,0.0,0.0,7.47,1.05,0,7.52,8.88,0.0,0.3853,0.4934,2.17,0.1259,0.0,3,0,3.14,1,1,7.9,LOW,0
HS190011,4,2025,1,5,MATH_SCIENCE,9,3.54,3.63,0.0,0.0,0.0,3.74,0.95,0,3.75,7.88,0.07,1.0,1.0,4.07,0.1191,0.0,3,0,3.16,1,1,6.1,MODERATE,0
HS190011,5,2025,1,5,MATH_SCIENCE,9,4.92,4.54,0.0,0.0,0.0,4.77,0.95,0,4.54,7.16,0.44,0.9913,1.0,2.68,0.118,0.0,3,0,2.96,1,1,6.1,MODERATE,0
HS190011,6,2025,1,5,MATH_SCIENCE,9,4.38,4.4,0.0,0.0,0.0,4.52,1.05,0,4.53,8.48,0.0,0.7792,0.7495,4.05,0.1258,0.0,3,0,3.08,1,1,6.0,MODERATE,0
HS190011,13,2025,1,5,TECHNOLOGY,9,4.83,4.61,0.0,0.0,0.0,4.49,1.02,0,4.5,8.59,-0.22,0.7804,0.738,3.94,0.1246,0.0,3,0,2.98,1,1,6.0,MODERATE,0
HS190011,14,2025,1,5,TECHNOLOGY,9,4.23,4.24,0.0,0.0,0.0,4.13,0.99,0,3.93,6.79,0.08,0.4116,0.2511,2.59,0.1241,0.0,3,0,2.92,1,1,6.0,MODERATE,0
HS190011,9,2025,1,5,HUMANITIES,9,7.3,6.96,0.0,0.0,0.0,7.4,1.04,0,7.21,8.69,-0.23,0.6263,0.4826,1.41,0.1249,0.0,3,0,2.91,1,1,7.7,LOW,0
HS290012,106,2025,1,5,MATH_SCIENCE,9,3.18,3.25,0.0,0.0,0.0,3.33,0.96,0,3.25,1.07,0.0,0.3833,0.4769,-2.19,0.3463,0.1651,5,0,4.96,0,1,4.1,HIGH,1
